Edge TPU Compiler version 16.0.384591198
Input: guitarmidi.tflite
Output: guitarmidi_edgetpu.tflite

Operator                       Count      Status

MINIMUM                        1          Mapped to Edge TPU
ADD                            10         Mapped to Edge TPU
RESHAPE                        1          More than one subgraph is not supported
RESHAPE                        14         Mapped to Edge TPU
FULLY_CONNECTED                6          Mapped to Edge TPU
DEPTHWISE_CONV_2D              6          Mapped to Edge TPU
QUANTIZE                       5          More than one subgraph is not supported
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
QUANTIZE                       1          Mapped to Edge TPU
CONV_2D                        38         Mapped to Edge TPU
SOFTMAX                        1          Mapped to Edge TPU
SOFTMAX                        5          More than one subgraph is not supported
CONCATENATION                  5          Operation is working on an unsupported data type
CONCATENATION                  1          More than one subgraph is not supported
CONCATENATION                  2          Mapped to Edge TPU
RELU                           1          Mapped to Edge TPU
SUB                            1          Mapped to Edge TPU
DEQUANTIZE                     1          Operation is working on an unsupported data type
AVERAGE_POOL_2D                1          Mapped to Edge TPU
REDUCE_MAX                     1          More than one subgraph is not supported
STRIDED_SLICE                  13         Mapped to Edge TPU
STRIDED_SLICE                  5          More than one subgraph is not supported
MUL                            6          Mapped to Edge TPU
MUL                            1          More than one subgraph is not supported
